id,pbratio,binder_con,defoamer,final_temp,viscosity,coating_speed,Gap,lab_temperature,lab_humidity,thickness1,thickness2,thickness3,thickness4,thickness5,average_thickness,sheet_thickness,standard_deviation,standard_deviation,failure
55,0.45,24,0.97,90,6000,1.0,1000,22,49,812,878,585,472,673,684,609,147.6,21.6,Pore(L)
56,0.45,24,0.97,90,6000,2.0,100,22,49,126,126,126,126,126,126,51,0.0,0.0,
57,0.45,24,0.97,90,6000,2.0,300,22,49,211,211,212,210,211,211,136,0.6,0.3,
58,0.45,24,0.97,90,6000,2.0,500,22,49,292,291,312,324,317,307.2,232.2,13.4,4.4,Pore(M)
59,0.45,24,0.97,90,6000,2.0,700,22,49,365,372,574,421,429,432.2,357.2,75.3,17.4,Pore(L)
60,0.45,24,0.97,90,6000,2.0,1000,22,49,측정불가,측정불가,측정불가,측정불가,측정불가,측정불가,측정불가,측정불가,측정불가,Pore(XL)
61,0.3,30,0.97,90,5700,0.5,300,23,25,203,204,205,204,204,204,129,0.6,0.3,
62,0.3,30,0.97,90,5700,0.5,500,23,25,281,281,278,282,280,280.4,205.4,1.4,0.5,Pore(S)
63,0.3,30,0.97,90,5700,0.5,700,23,25,352,354,351,357,350,352.8,277.8,2.5,0.7,Pore(S)
64,0.3,30,0.97,90,5700,0.5,900,23,25,419,419,420,420,417,419,344,1.1,0.3,Pore(M)
65,0.3,30,0.97,90,5700,0.5,1000,23,25,454,457,453,450,455,453.8,378.8,2.3,0.5,Pore(M)
66,0.4,30,0.97,90,3650,0.5,300,23,25,197,196,197,196,195,196.2,121.2,0.7,0.4,
67,0.4,30,0.97,90,3650,0.5,500,23,25,265,263,262,262,264,263.2,188.2,1.2,0.4,
68,0.4,30,0.97,90,3650,0.5,700,23,25,322,325,323,322,323,323,248,1.1,0.3,Pore(S)
69,0.4,30,0.97,90,3650,0.5,900,23,25,381,381,379,381,379,380.2,305.2,1.0,0.3,Pore(M)
70,0.4,30,0.97,90,3650,0.5,1000,23,25,403,404,406,405,405,404.6,329.6,1.0,0.3,Pore(M)
71,0.5,30,0.97,90,3500,0.5,300,23,25,196,196,196,197,196,196.2,121.2,0.4,0.2,
72,0.5,30,0.97,90,3500,0.5,500,23,25,263,263,263,264,265,263.6,188.6,0.8,0.3,Pore(S)
73,0.5,30,0.97,90,3500,0.5,700,23,25,321,322,324,323,323,322.6,247.6,1.0,0.3,Pore(S)
74,0.5,30,0.97,90,3500,0.5,900,23,25,375,376,378,376,377,376.4,301.4,1.0,0.3,Pore(M)
75,0.5,30,0.97,90,3500,0.5,1000,23,25,406,404,400,402,401,402.6,327.6,2.2,0.5,Pore(M)
76,0.6,30,0.97,90,3400,0.5,300,23,25,197,196,195,194,195,195.4,120.4,1.0,0.5,
77,0.6,30,0.97,90,3400,0.5,500,23,25,260,259,259,259,260,259.4,184.4,0.5,0.2,
78,0.6,30,0.97,90,3400,0.5,700,23,25,317,319,318,319,319,318.4,243.4,0.8,0.3,Pore(S)
79,0.6,30,0.97,90,3400,0.5,900,23,25,373,369,372,376,378,373.6,298.6,3.1,0.8,Pore(M)
80,0.6,30,0.97,90,3400,0.5,1000,23,25,397,398,402,399,397,398.6,323.6,1.9,0.5,Pore(M)
81,0.4,10,0.97,90,5600,0.5,300,23,45,240,240,241,242,243,241.2,166.2,1.2,0.5,
82,0.4,10,0.97,90,5600,0.5,500,23,45,348,346,348,349,351,348.4,273.4,1.6,0.5,
83,0.4,10,0.97,90,5600,0.5,700,23,45,443,443,442,443,445,443.2,368.2,1.0,0.2,
84,0.4,10,0.97,90,5600,0.5,900,23,45,523,522,520,522,523,522,447,1.1,0.2,Pore(S)
85,0.4,10,0.97,90,5600,0.5,1000,23,45,596,589,601,582,582,590,515,7.6,1.3,Pore(S)
86,0.4,20,0.97,90,1800,0.5,300,23,45,203,201,202,200,201,201.4,126.4,1.0,0.5,
87,0.4,20,0.97,90,1800,0.5,500,23,45,261,260,259,259,260,259.8,184.8,0.7,0.3,
88,0.4,20,0.97,90,1800,0.5,700,23,45,313,311,308,307,308,309.4,234.4,2.2,0.7,
89,0.4,20,0.97,90,1800,0.5,900,23,45,340,338,335,335,337,337,262,1.9,0.6,
90,0.4,20,0.97,90,1800,0.5,1000,23,45,333,328,323,323,323,326,251,4.0,1.2,Pore(S) / Crack
91,0.4,30,0.97,90,2100,0.5,300,23,45,187,187,187,187,186,186.8,111.8,0.4,0.2,
92,0.4,30,0.97,90,2100,0.5,500,23,45,245,249,246,246,246,246.4,171.4,1.4,0.6,Pore(S)
93,0.4,30,0.97,90,2100,0.5,700,23,45,295,296,296,297,299,296.6,221.6,1.4,0.5,Pore(S)
94,0.4,30,0.97,90,2100,0.5,900,23,45,342,343,341,344,345,343,268,1.4,0.4,Pore(M)
95,0.4,30,0.97,90,2100,0.5,1000,23,45,351,356,357,355,357,355.2,280.2,2.2,0.6,Pore(M)
96,0.4,40,0.97,90,4700,0.5,300,23,45,188,189,188,188,187,188,113,0.6,0.3,
97,0.4,40,0.97,90,4700,0.5,500,23,45,250,251,250,249,250,250,175,0.6,0.3,
98,0.4,40,0.97,90,4700,0.5,700,23,45,312,311,311,311,311,311.2,236.2,0.4,0.1,Pore(S)
99,0.4,40,0.97,90,4700,0.5,900,23,45,369,368,368,369,369,368.6,293.6,0.5,0.1,Pore(M)
100,0.4,40,0.97,90,4700,0.5,1000,23,45,405,417,415,426,431,418.8,343.8,9.0,2.2,Pore(M)
101,0.4,50,0.97,90,9000,0.5,300,23,45,186,186,186,186,185,185.8,110.8,0.4,0.2,
102,0.4,50,0.97,90,9000,0.5,500,23,45,252,251,250,251,250,250.8,175.8,0.7,0.3,Pore(S)
103,0.4,50,0.97,90,9000,0.5,700,23,45,319,330,307,315,316,317.4,242.4,7.4,2.3,Pore(M)
104,0.4,50,0.97,90,9000,0.5,900,23,45,382,387,387,387,385,385.6,310.6,2.0,0.5,Pore(L)
105,0.4,50,0.97,90,9000,0.5,1000,23,45,421,431,435,427,440,430.8,355.8,6.5,1.5,Pore(L)
106,0.4,30,0,90,3400,0.5,700,20,23,313,312,312,310,310,311.4,236.4,1.2,0.4,Pore(S)
107,0.4,30,0,90,3400,0.5,900,20,23,364,365,368,389,367,370.6,295.6,9.3,2.5,Pore(M)
108,0.4,30,0,90,3400,0.5,1000,20,23,385,391,389,386,430,396.2,321.2,17.0,4.3,Pore(M)
109,0.4,30,0.5,90,3700,0.5,700,20,23,312,314,315,313,311,313,238,1.4,0.5,Pore(S)
